,word,binary_score
216,alarm,-1.0
217,alas,-1.0
218,alert,-1.0
219,alerted,-1.0
220,alerting,-1.0
221,alertness,-1.0
222,alibi,-1.0
223,alien,-1.0
224,alienate,-1.0
225,alienated,-1.0
226,alienates,-1.0
227,alienating,-1.0
228,alienation,-1.0
229,alienations,-1.0
230,alignment,1.0
231,alinement,1.0
232,all important,-1.0
233,all over,-1.0
234,all-important,-1.0
235,allay,-1.0
236,allegation,-1.0
237,allegations,-1.0
238,allege,-1.0
239,alleged,-1.0
240,allegedly,-1.0
241,allegement,-1.0
242,alleges,-1.0
243,alleging,-1.0
244,alleviate,-1.0
245,alleviation,-1.0
246,alliance,1.0
247,alliances,1.0
248,allow,-1.0
249,alone,1.0
250,alter,-1.0
251,altercate,-1.0
252,amateur,-1.0
253,amaze,-1.0
254,ambidextrous,-1.0
255,ambition,1.0
256,ambitious,-1.0
257,ameliorate,1.0
258,amend,1.0
259,amends,-1.0
260,amercement,-1.0
261,amiss,-1.0
262,ample,1.0
263,amplification,1.0
264,amplify,-1.0
265,amuse,-1.0
266,amused,-1.0
267,amusing,-1.0
268,amusive,-1.0
269,anguish,-1.0
270,animadversion,-1.0
271,annihilating,-1.0
272,annihilative,-1.0
273,annoy,-1.0
274,annoyance,-1.0
275,annoyances,-1.0
276,annoyed,-1.0
277,annoying,-1.0
278,annoys,-1.0
279,annul,-1.0
280,annulled,-1.0
281,annulling,-1.0
282,annulment,-1.0
283,annulments,-1.0
284,annuls,-1.0
285,anomalies,-1.0
286,anomalous,-1.0
287,anomalously,-1.0
288,anomalousness,-1.0
289,anomaly,-1.0
290,anomic,-1.0
291,answer,1.0
292,antagonism,-1.0
293,antagonist,-1.0
294,antagonistic,-1.0
295,antecede,-1.0
296,antedate,-1.0
297,antic,1.0
298,anticipate,-1.0
299,anticompetitive,-1.0
300,antimonopoly,-1.0
301,antique,-1.0
302,antitrust,-1.0
303,apologise,-1.0
304,apologize,-1.0
305,apotheosis,1.0
306,appal,-1.0
307,appall,-1.0
308,appalled,-1.0
309,appease,-1.0
310,applaud,1.0
311,apprehend,-1.0
312,apprehension,-1.0
313,approach,1.0
314,appropriate,-1.0
315,arduous,-1.0
316,argue,-1.0
317,argued,-1.0
318,argufy,-1.0
319,arguing,-1.0
320,argument,-1.0
321,argumentation,-1.0
322,argumentative,-1.0
323,arguments,-1.0
324,arouse,0.0
325,aroused,1.0
326,arrant,1.0
327,arrearage,-1.0
328,arrearages,-1.0
329,arrears,-1.0
330,arrest,-1.0
331,arrested,-1.0
332,arrests,-1.0
333,arrive at,1.0
334,arrogate,-1.0
335,arrogation,-1.0
336,article of faith,-1.0
337,artificer,1.0
338,artificially,-1.0
339,ascertain,1.0
340,asleep,-1.0
341,asperity,-1.0
342,asperse,-1.0
343,aspersion,-1.0
344,aspiration,1.0
345,assail,-1.0
346,assault,-1.0
347,assaulted,-1.0
348,assaulting,-1.0
349,assaults,-1.0
350,assent,-1.0
351,assertion,-1.0
352,assertions,-1.0
353,asseveration,-1.0
354,assoil,-1.0
355,assuage,-1.0
356,assume,-1.0
357,assumed,-1.0
358,assure,1.0
359,assured,1.0
360,assures,1.0
361,assuring,1.0
362,astonishing,-1.0
363,astounding,-1.0
364,asymmetry,-1.0
365,at hand,-1.0
366,at odds,-1.0
367,at peace,-1.0
368,at rest,-1.0
369,at sea,-1.0
370,atonement,1.0
371,atrophied,-1.0
372,atrophy,-1.0
373,attach,-1.0
374,attack,-1.0
375,attain,1.0
376,attained,1.0
377,attaining,1.0
378,attainment,1.0
379,attainments,1.0
380,attains,1.0
381,attaint,-1.0
382,attenuate,-1.0
383,attenuated,-1.0
384,attest,-1.0
385,attraction,1.0
386,attractive,1.0
387,attractively,1.0
388,attractiveness,1.0
389,attrition,-1.0
390,atypical,-1.0
391,audit,-1.0
392,austere,-1.0
393,austereness,-1.0
394,authorise,1.0
395,authorize,1.0
396,avenge,-1.0
397,aver,-1.0
398,averment,-1.0
399,aversely,-1.0
400,avert,-1.0
401,avoid,-1.0
402,award,1.0
403,awe,-1.0
404,awful,1.0
405,awkward,-1.0
406,awkwardness,-1.0
407,awry,-1.0
408,back foot,-1.0
409,backbreaking,-1.0
410,backdate,-1.0
411,backdating,-1.0
412,backlash,1.0
413,backslide,-1.0
414,backsliding,-1.0
415,backwardness,-1.0
416,backwash,-1.0
417,bad,-1.0
418,badgering,-1.0
419,badly,-1.0
420,badness,-1.0
421,baffle,-1.0
422,baffled,-1.0
423,baffling,-1.0
424,bail,-1.0
425,bail bond,-1.0
426,bailout,-1.0
427,baleful,-1.0
428,balefulness,-1.0
429,balk,-1.0
430,balked,-1.0
431,balker,-1.0
432,ball over,-1.0
433,ball up,-1.0
434,ban,-1.0
435,bang-up,1.0
436,banish,-1.0
437,bankrupt,-1.0
438,bankruptcies,-1.0
439,bankruptcy,-1.0
440,bankrupted,-1.0
441,bankrupting,-1.0
442,bankrupts,-1.0
443,banning,-1.0
444,bans,-1.0
445,bar,-1.0
446,barf,-1.0
447,baring,-1.0
448,barred,-1.0
449,barricade,-1.0
450,barricaded,-1.0
451,barrier,-1.0
452,barriers,-1.0
453,baseball swing,-1.0
454,baseless,-1.0
455,bask,1.0
456,battle,-1.0
457,baulk,-1.0
458,baulker,-1.0
459,bawdiness,-1.0
460,be amiss,-1.0
461,be sick,-1.0
462,bear on,-1.0
463,bear witness,-1.0
464,bearing false witness,-1.0
465,beat,-1.0
466,beautiful,1.0
467,beautifully,1.0
468,bedevil,-1.0
469,bedevilment,-1.0
470,bedraggled,-1.0
471,beef up,1.0
472,befuddle,-1.0
473,befuddled,-1.0
474,beguiled,1.0
475,beguilement,-1.0
476,behave,-1.0
477,behind,-1.0
478,belated,-1.0
479,belatedly,-1.0
480,beleaguer,-1.0
481,belie,-1.0
482,belittle,-1.0
483,belittled,-1.0
484,belittling,-1.0
485,belly-up,-1.0
486,below the belt,-1.0
487,bemused,-1.0
488,beneficial,1.0
489,beneficially,1.0
490,benefit,1.0
491,benefited,1.0
492,benefiting,1.0
493,benefitted,1.0
494,benefitting,1.0
495,benevolent,1.0
496,beseech,-1.0
497,beseeching,-1.0
498,beset,-1.0
499,besiege,-1.0
500,besmirch,-1.0
501,best,1.0
502,best-loved,1.0
503,betray,-1.0
504,better,0.0
505,betterment,1.0
506,bettor,1.0
507,bewilder,-1.0
508,bewildered,-1.0
509,bewilderingly,-1.0
510,bias,-1.0
511,bid,-1.0
512,bidding,-1.0
513,bilk,-1.0
514,bill of indictment,-1.0
515,bite,-1.0
516,black eye,-1.0
517,blackball,-1.0
518,blackguard,-1.0
519,blacklist,-1.0
520,blamable,-1.0
521,blame,-1.0
522,blameable,-1.0
523,blameful,-1.0
524,blameworthiness,-1.0
525,blameworthy,-1.0
526,bland,1.0
527,blast,1.0
528,blaze,-1.0
529,blazed,-1.0
530,blazes,-1.0
531,blazing,-1.0
532,blemish,-1.0
533,blemished,-1.0
534,blind alley,-1.0
535,blithely,1.0
536,block,-1.0
537,block off,-1.0
538,block up,-1.0
539,blockade,-1.0
540,blockaded,-1.0
541,blockage,-1.0
542,bloodbath,-1.0
543,blow,-1.0
544,blow out of the water,-1.0
545,blur,-1.0
546,bobble,-1.0
547,bodge,-1.0
548,bollix,-1.0
549,bollix up,-1.0
550,bollocks,-1.0
551,bollocks up,-1.0
552,bolster,1.0
553,bolster up,1.0
554,bolstered,1.0
555,bolstering,1.0
556,bolsters,1.0
557,bomb,-1.0
558,bonanza,1.0
559,bond,0.0
560,bony,-1.0
561,boodle,-1.0
562,boom,1.0
563,boom out,1.0
564,booming,1.0
565,boost,1.0
566,boosted,1.0
567,boring,-1.0
568,botch,-1.0
569,botch up,-1.0
570,bother,-1.0
571,botheration,-1.0
572,bothersome,-1.0
573,bottle up,-1.0
574,bottleneck,-1.0
575,bottlenecks,-1.0
576,bounce,1.0
577,bound,0.0
578,bountiful,1.0
579,bow,-1.0
580,bowed down,-1.0
581,bowl over,-1.0
582,boycott,-1.0
583,boycotted,-1.0
584,boycotting,-1.0
585,boycotts,-1.0
586,brace,1.0
587,brainchild,1.0
588,brainsick,-1.0
589,brainy,1.0
590,breach,-1.0
591,breached,-1.0
592,breaches,-1.0
593,breaching,-1.0
594,break away,-1.0
595,break dance,-1.0
596,break down,-1.0
597,break in,-1.0
598,break of serve,-1.0
599,break off,-1.0
600,break out,-1.0
601,break up,0.0
602,break water,-1.0
603,break-dance,-1.0
604,breakage,-1.0
605,breakages,-1.0
606,breakdown,-1.0
607,breakdowns,-1.0
608,breaking,-1.0
609,breakout,-1.0
610,breaks,-1.0
611,breakthrough,1.0
612,breakthroughs,1.0
613,breakup,-1.0
614,breather,1.0
615,breathing in,1.0
616,breed,-1.0
617,bribable,-1.0
618,bribe,-1.0
619,bribed,-1.0
620,briberies,-1.0
621,bribery,-1.0
622,bribes,-1.0
623,bribing,-1.0
624,bridge,-1.0
625,bridge circuit,-1.0
626,bridge deck,-1.0
627,bridge over,-1.0
628,bridgework,-1.0
629,bright,1.0
630,brightens,1.0
631,brighter,1.0
632,brilliant,1.0
633,brim over,-1.0
634,bring down,-1.0
635,bring forward,1.0
636,bring home the bacon,1.0
637,bring in,1.0
638,bring out,-1.0
639,broken,-1.0
640,broken in,-1.0
641,broken-down,-1.0
642,brook,-1.0
643,bruise,-1.0
644,brunt,-1.0
645,brush aside,-1.0
646,brush off,-1.0
647,brusqueness,-1.0
648,bucked up,1.0
649,build,1.0
650,build up,1.0
651,bully,1.0
652,bullying,-1.0
653,bumble,-1.0
654,bump,-1.0
655,bunce,1.0
656,bunco,-1.0
657,bungle,-1.0
658,bungling,-1.0
659,buoyed,1.0
660,burden,-1.0
661,burdened,-1.0
662,burdening,-1.0
663,burdens,-1.0
664,burdensome,-1.0
665,burn,-1.0
666,burn down,-1.0
667,burn off,-1.0
668,burn up,-1.0
669,burned,-1.0
670,burned-out,-1.0
671,burned-over,-1.0
672,burnt,-1.0
673,burnt-out,-1.0
674,burst,-1.0
675,burthen,-1.0
676,business,-1.0
677,business concern,-1.0
678,business organisation,-1.0
679,business organization,-1.0
680,bust,-1.0
681,busted,-1.0
682,busy,-1.0
683,busybodied,-1.0
684,buy,-1.0
685,buy the farm,-1.0
686,by artificial means,-1.0
687,by chance,-1.0
688,by choice,-1.0
689,by design,-1.0
690,bygone,-1.0
691,bypast,-1.0
692,cabal,-1.0
693,cachexia,-1.0
694,cachexy,-1.0
695,cadaverous,-1.0
696,calamities,-1.0
697,calamitous,-1.0
698,calamity,-1.0
699,calculated,-1.0
700,call,-1.0
701,call back,-1.0
702,call forth,-1.0
703,call in,-1.0
704,call into question,-1.0
705,call off,-1.0
706,call up,-1.0
707,callback,-1.0
708,calumniate,-1.0
709,calumniation,-1.0
710,calumniatory,-1.0
711,calumnious,-1.0
712,calumny,-1.0
713,campaign,-1.0
714,can,-1.0
715,cancel,-1.0
716,canceled,-1.0
717,canceling,-1.0
718,cancellation,-1.0
719,cancellations,-1.0
720,cancelled,-1.0
721,cancelling,-1.0
722,cancels,-1.0
723,capable,1.0
724,capriciousness,-1.0
725,captivated,1.0
726,captive,-1.0
727,captivity,-1.0
728,capture,-1.0
729,care,-1.0
730,careen,-1.0
731,careful,-1.0
732,carefulness,-1.0
733,careless,-1.0
734,carelessly,-1.0
735,carelessness,-1.0
736,cark,-1.0
737,carry,-1.0
738,carry out,1.0
739,carry through,1.0
740,cart,-1.0
741,cash advance,1.0
742,cash in one's chips,-1.0
743,cast,-1.0
744,cast aside,-1.0
745,cast away,-1.0
746,cast down,-1.0
747,cast off,-1.0
748,cast out,-1.0
749,castigate,-1.0
750,cat,-1.0
751,cataclysm,-1.0
752,catastrophe,-1.0
753,catastrophes,-1.0
754,catastrophic,-1.0
755,catastrophically,-1.0
756,catch,-1.0
757,cauterise,-1.0
758,cauterize,-1.0
759,caution,-1.0
760,cautionary,0.0
761,cautioned,-1.0
762,cautioning,-1.0
763,cautions,-1.0
764,cautiousness,-1.0
765,cave,-1.0
766,cave in,-1.0
767,caveat,-1.0
768,cease,-1.0
769,cease and desist order,-1.0
770,ceased,-1.0
771,ceases,-1.0
772,ceasing,-1.0
773,cede,-1.0
774,ceding back,-1.0
775,censor,-1.0
776,censurable,-1.0
777,censure,-1.0
778,censured,-1.0
779,censures,-1.0
780,censuring,-1.0
781,centripetal,1.0
782,chafe,-1.0
783,chagrined,-1.0
784,chair,1.0
785,challenge,-1.0
786,challenged,-1.0
787,challenges,-1.0
788,challenging,-1.0
789,champion,-1.0
790,chance,0.0
791,chance event,-1.0
792,chance on,1.0
793,chance upon,1.0
794,chancellor,1.0
795,chaotic,-1.0
796,charge,0.0
797,charge up,1.0
798,chargeable,-1.0
799,chargeoffs,-1.0
800,charitable,1.0
801,charmed,1.0
802,chasten,-1.0
803,chastening,-1.0
804,chastise,-1.0
805,chastisement,-1.0
806,cheapen,-1.0
807,check,0.0
808,cheerily,1.0
809,cheering,1.0
810,cheerless,-1.0
811,chevvy,-1.0
812,chevy,-1.0
813,childbed,-1.0
814,chivvy,-1.0
815,chivy,-1.0
816,choke,-1.0
817,chokepoint,-1.0
818,chuck,-1.0
819,chuck out,-1.0
820,chuck up the sponge,-1.0
821,circumscribe,-1.0
822,circumspection,-1.0
823,circumstantially,-1.0
824,circumvent,-1.0
825,circumvented,-1.0
826,circumventing,-1.0
827,circumvention,-1.0
828,circumventions,-1.0
829,circumvents,-1.0
830,cite,-1.0
831,claim,-1.0
832,claiming,-1.0
833,claims,-1.0
834,clannishness,1.0
835,clap,1.0
836,clapperclaw,-1.0
837,classifiable,1.0
838,clawback,-1.0
839,clear,0.0
840,cleared,-1.0
841,cleverness,1.0
842,climb,1.0
843,climbs,1.0
844,clip,-1.0
845,cliquishness,1.0
846,clog,-1.0
847,clogging,-1.0
848,close at hand,-1.0
849,close down,-1.0
850,close out,-1.0
851,close up,-1.0
852,closed in,-1.0
853,closedown,-1.0
854,closeout,-1.0
855,closeouts,-1.0
856,closings,-1.0
857,closure,-1.0
858,closures,-1.0
859,cloture,-1.0
860,cloud,-1.0
861,clumsiness,-1.0
862,clumsy,-1.0
863,clutch,-1.0
864,coaction,1.0
865,coalition,1.0
866,coarse,-1.0
867,cocksure,1.0
868,coconspirator,-1.0
869,coerce,-1.0
870,coerced,-1.0
871,coerces,-1.0
872,coercing,-1.0
873,coercion,-1.0
874,coercive,-1.0
875,cold shoulder,-1.0
876,collaborate,1.0
877,collaborated,1.0
878,collaborates,1.0
879,collaborating,1.0
880,collaboration,1.0
881,collaborationism,1.0
882,collaborationist,1.0
883,collaborations,1.0
884,collaborative,1.0
885,collaborator,1.0
886,collaborators,1.0
887,collapse,-1.0
888,collapsed,-1.0
889,collapses,-1.0
890,collapsing,-1.0
891,collar,-1.0
892,collision,-1.0
893,collisions,-1.0
894,collude,-1.0
895,colluded,-1.0
896,colludes,-1.0
897,colluding,-1.0
898,collusion,-1.0
899,collusions,-1.0
900,collusive,-1.0
901,color,-1.0
902,colour,-1.0
903,combat injury,-1.0
904,combative,-1.0
905,combust,-1.0
906,come across,1.0
907,come after,1.0
908,come along,1.0
909,come apart,-1.0
910,come back,-1.0
911,come down,-1.0
912,come on,1.0
913,come through,1.0
914,come to,-1.0
915,come together,-1.0
916,come up,-1.0
917,come upon,1.0
918,comfort,-1.0
919,comfortable,1.0
920,comfortably,1.0
921,comforting,1.0
922,command,-1.0
923,commanding,-1.0
924,commission,-1.0
925,commit,-1.0
926,committal,-1.0
927,commotion,-1.0
928,commove,0.0
929,compact,-1.0
930,compensate,-1.0
931,compete,-1.0
932,competition,-1.0
933,complain,-1.0
934,complainant,-1.0
935,complained,-1.0
936,complaining,-1.0
937,complains,-1.0
938,complaint,-1.0
939,complaintive,-1.0
940,complaints,-1.0
941,complete,0.0
942,completed,1.0
943,completion,-1.0
944,complicate,-1.0
945,complicated,-1.0
946,complicatedness,-1.0
947,complicates,-1.0
948,complicating,-1.0
949,complication,-1.0
950,complications,-1.0
951,compliment,1.0
952,complimentary,0.0
953,complimented,1.0
954,complimenting,1.0
955,compliments,1.0
956,complot,-1.0
957,comport,-1.0
958,compress,-1.0
959,compression,-1.0
960,compulsion,-1.0
961,computer error,-1.0
962,con,-1.0
963,conceal,-1.0
964,concealed,-1.0
965,concealing,-1.0
966,concealment,-1.0
967,concede,-1.0
968,conceded,-1.0
969,concedes,-1.0
970,conceding,-1.0
971,conception,1.0
972,concern,-1.0
973,concerned,-1.0
974,concerns,-1.0
975,concession,-1.0
976,conciliate,-1.0
977,conciliating,-1.0
978,conciliation,-1.0
979,conciliations,-1.0
980,conclude,0.0
981,concluded,-1.0
982,conclusion,-1.0
983,conclusive,1.0
984,conclusively,1.0
985,condemn,-1.0
986,condemnable,-1.0
987,condemnation,-1.0
988,condemnations,-1.0
989,condemnatory,-1.0
990,condemned,-1.0
991,condemning,-1.0
992,condemns,-1.0
993,condensation,-1.0
994,condone,-1.0
995,condoned,-1.0
996,conduce,1.0
997,conducive,1.0
998,conduct,0.0
999,confederacy,-1.0
1000,confederate,1.0
1001,confederation,1.0
1002,confess,-1.0
1003,confessed,-1.0
1004,confesses,-1.0
1005,confessing,-1.0
1006,confession,-1.0
1007,confident,1.0
1008,confine,-1.0
1009,confined,-1.0
1010,confinement,-1.0
1011,confinements,-1.0
1012,confines,-1.0
1013,confining,-1.0
1014,confirming,1.0
1015,confiscate,-1.0
1016,confiscated,-1.0
1017,confiscates,-1.0
1018,confiscating,-1.0
1019,confiscation,-1.0
1020,confiscations,-1.0
1021,conflict,-1.0
1022,conflicted,-1.0
1023,conflicting,-1.0
1024,conflicts,-1.0
1025,confound,-1.0
1026,confounded,-1.0
1027,confounding,-1.0
1028,confront,-1.0
1029,confrontation,-1.0
1030,confrontational,-1.0
1031,confrontations,-1.0
1032,confronted,-1.0
1033,confronting,-1.0
1034,confronts,-1.0
1035,confuse,-1.0
1036,confused,-1.0
1037,confusedness,-1.0
1038,confuses,-1.0
1039,confusing,-1.0
1040,confusingly,-1.0
1041,confusion,-1.0
1042,confutable,-1.0
1043,confutative,-1.0
1044,congratulate,1.0
1045,conjuration,-1.0
1046,conjure,-1.0
1047,conjuring trick,-1.0
1048,conk,-1.0
1049,conk out,-1.0
1050,connivance,-1.0
1051,conniving,-1.0
1052,conquer,-1.0
1053,conquering,-1.0
1054,conquest,-1.0
1055,conscienceless,-1.0
1056,consequence,-1.0
1057,consider,-1.0
1058,considerably,1.0
1059,consist,-1.0
1060,conspiracies,-1.0
1061,conspiracy,-1.0
1062,conspirative,-1.0
1063,conspirator,-1.0
1064,conspiratorial,-1.0
1065,conspirators,-1.0
1066,conspire,-1.0
1067,conspired,-1.0
1068,conspires,-1.0
1069,conspiring,-1.0
1070,constancy,1.0
1071,constipation,-1.0
1072,constrain,-1.0
1073,constrained,-1.0
1074,constraining,-1.0
1075,constrict,-1.0
1076,constriction,-1.0
1077,constrictive,-1.0
1078,constructive,1.0
1079,constructive eviction,-1.0
1080,constructively,1.0
1081,consume,-1.0
1082,consummate,1.0
1083,contain,-1.0
1084,contaminating,-1.0
1085,contamination,-1.0
1086,contempt,0.0
1087,contend,-1.0
1088,contended,-1.0
1089,contending,-1.0
1090,contends,-1.0
1091,contention,-1.0
1092,contentions,-1.0
1093,contentious,-1.0
1094,contentiously,-1.0
1095,contest,-1.0
1096,contestant,-1.0
1097,contestation,-1.0
1098,contested,-1.0
1099,contesting,-1.0
1100,continuation,-1.0
1101,continuity,-1.0
1102,contort,-1.0
1103,contract,-1.0
1104,contraction,-1.0
1105,contractions,-1.0
1106,contradict,-1.0
1107,contradicted,-1.0
1108,contradicting,-1.0
1109,contradiction,-1.0
1110,contradiction in terms,-1.0
1111,contradictions,-1.0
1112,contradictory,-1.0
1113,contradicts,-1.0
1114,contrary,-1.0
1115,contrastive,-1.0
1116,contravene,-1.0
1117,contravention,-1.0
1118,contribute,1.0
1119,contributing,1.0
1120,contributive,1.0
1121,contributory,1.0
1122,contriteness,-1.0
1123,contrition,-1.0
1124,contrive,1.0
1125,control,0.0
1126,controversial,-1.0
1127,controversies,-1.0
1128,controversy,-1.0
1129,controvert,-1.0
1130,contumely,-1.0
1131,convict,-1.0
1132,convicted,-1.0
1133,convicting,-1.0
1134,conviction,-1.0
1135,convictions,-1.0
1136,convinced,1.0
1137,convoluted,-1.0
1138,convulsion,-1.0
1139,cook,-1.0
1140,cook up,1.0
1141,cooperate,1.0
1142,cooperator,1.0
1143,cop,-1.0
1144,cope,-1.0
1145,copious,1.0
1146,copiousness,1.0
1147,core,-1.0
1148,corking,1.0
1149,corner,-1.0
1150,corrasion,-1.0
1151,correct,-1.0
1152,corrected,-1.0
1153,correcting,-1.0
1154,correction,-1.0
1155,corrections,-1.0
1156,corrective,-1.0
1157,corrects,-1.0
1158,corroding,-1.0
1159,corrosion,-1.0
1160,corrupt,-1.0
1161,corrupted,-1.0
1162,corruptedly,-1.0
1163,corruptible,-1.0
1164,corrupting,-1.0
1165,corruption,-1.0
1166,corruptions,-1.0
1167,corruptly,-1.0
1168,corruptness,-1.0
1169,cost increase,1.0
1170,costless,0.0
1171,costly,-1.0
1172,couch,-1.0
1173,counter,-1.0
1174,counteract,-1.0
1175,counterbalance,-1.0
1176,counterclaim,-1.0
1177,counterclaimed,-1.0
1178,counterclaiming,-1.0
1179,counterclaims,-1.0
1180,counterfeit,-1.0
1181,counterfeited,-1.0
1182,counterfeiter,-1.0
1183,counterfeiters,-1.0
1184,counterfeiting,-1.0
1185,counterfeits,-1.0
1186,countermand,-1.0
1187,countermeasure,-1.0
1188,countermeasures,-1.0
1189,countermine,-1.0
1190,courteous,1.0
1191,coveted,1.0
1192,cozen,-1.0
1193,crack,-1.0
1194,crack up,-1.0
1195,crack-up,-1.0
1196,cracking,1.0
1197,craftiness,-1.0
1198,cramp,-1.0
1199,crash,-1.0
1200,craved,1.0
1201,crazy,-1.0
1202,creaky,-1.0
1203,creation,1.0
1204,creative,1.0
1205,creative thinking,1.0
1206,creatively,1.0
1207,creativeness,1.0
1208,creativity,1.0
1209,crime,-1.0
1210,crimes,-1.0
1211,criminal,-1.0
1212,criminal offence,-1.0
1213,criminal offense,-1.0
1214,criminal prosecution,-1.0
1215,criminally,-1.0
1216,criminals,-1.0
1217,criminate,-1.0
1218,crimson,-1.0
1219,crippled,-1.0
1220,crises,-1.0
1221,crisis,-1.0
1222,crisply,-1.0
1223,critical,-1.0
1224,critically,-1.0
1225,criticise,-1.0
1226,criticism,-1.0
1227,criticisms,-1.0
1228,criticize,-1.0
1229,criticized,-1.0
1230,criticizes,-1.0
1231,criticizing,-1.0
1232,critique,-1.0
1233,croak,-1.0
1234,crock up,-1.0
1235,crook,-1.0
1236,crooked,-1.0
1237,cross,-1.0
1238,crucial,-1.0
1239,crucially,-1.0
1240,crucify,-1.0
1241,cruelness,-1.0
